District,State,pH,TDS (mg/L),Turbidity (NTU),Nitrate (mg/L),Fluoride (mg/L),Chloride (mg/L),Hardness (mg/L),Electrical Conductivity (µS/cm),Dissolved Oxygen (mg/L),Iron (mg/L),Arsenic (mg/L),Diarrhea Cases,Typhoid Cases,Cholera Cases,Hepatitis Cases
Munger,Bihar,6.968109024723523,,13.418403451764055,55.975233169632006,0.8453865259778722,91.89373011766625,229.47994941166917,1106.4047051875268,5.512794013691471,1.2057123972090258,,186.0,73.0,14.0,32.0
Chapra,Bihar,7.101841835363759,5820.12937557212,6.02186578093658,76.28943543441851,1.1778112444584508,196.90408448939016,360.55275759290174,867.4299907080867,6.057267063756375,1.061665505231548,0.053298949932610605,,,,
Nalanda,Bihar,7.888539987045707,368.6426399687245,13.710224638836365,59.74388802639792,1.3631590270650664,104.91796792379861,278.0817038371026,618.6528643062411,5.296852266342641,1.5497994956059298,0.028505922362509945,207.0,76.0,23.0,33.0
Chennai,Tamil Nadu,,1028.5897347404941,4.609100443596201,26.491114934643434,0.9081851636057013,347.0247780553635,420.56567668138365,753.2593646771876,7.149203915992261,0.40756801782846735,0.005970408273227878,,,,
Coimbatore,Tamil Nadu,7.763419155516316,,3.2761802973289593,25.38785157655165,1.1172135804374768,245.4961318399328,277.39264076340106,986.8206435914713,6.3570139558033,0.15143859438422103,0.0038692529898751334,50.0,14.0,4.0,9.0
Madurai,Tamil Nadu,7.665323372298839,701.8433423496501,,205.13469234114132,0.5641813132127943,251.81937713501765,349.83426068823866,1201.6644678827683,7.260522941408887,0.3650271670955141,,48.0,20.0,4.0,6.0
Trichy,Tamil Nadu,7.403657547707921,545.697598366836,2.8263240648871233,22.83166191451526,0.872461578317003,287.5357482540447,,1171.0664665607246,7.582270087861127,0.42483104440347164,0.005126056856298155,42.0,13.0,3.0,4.0
Salem,Tamil Nadu,7.005653590344116,739.5161887187614,2.337021509671885,32.066315126104975,0.5120605660724835,434.7650188894978,511.37548821959575,960.4968054713875,7.374823181985018,0.4212979618659225,0.005932815570572052,40.0,13.0,8.0,5.0
Tirunelveli,Tamil Nadu,7.948746158141744,601.4973277290427,4.780749864840263,30.740708623464815,1.0771361475322037,215.71774586578033,,1224.365781436329,7.693211228520222,0.46460589034634037,0.002107586360565529,55.0,18.0,5.0,6.0
Vellore,Tamil Nadu,7.627837629054981,761.1581576775897,5.448304570306388,17.635132148904173,0.798441096570353,318.504424451645,334.4178946516489,1440.0053013193094,7.3292729838233095,0.3931436749327324,0.00538096239134778,45.0,11.0,6.0,10.0
Erode,Tamil Nadu,7.944637572822574,661.8228727002637,5.816169060312343,18.04698754453459,0.3164475627511556,424.1165451961115,270.59459984436165,1592.7002763527425,7.62709529296866,0.15480836401452827,0.003687923128462829,45.0,21.0,1.0,6.0
Thanjavur,Tamil Nadu,7.484078182573148,763.8533283665681,2.8491425666743653,17.888959417015794,1.0527788306870756,315.6657254359467,254.31437079524588,1422.6831711781936,7.671190708121878,0.34237047816569893,0.0035185419354203536,45.0,11.0,6.0,15.0
Dindigul,Tamil Nadu,8.018939104613315,852.459228757988,5.299227791919323,32.22026258974968,0.7967427249544198,245.29631276214533,377.7992558405284,1570.968542350344,7.1866480749089,0.3257581521355959,0.005664783127641137,66.0,19.0,4.0,11.0
Kanchipuram,Tamil Nadu,7.9642752097174805,923.7653729174217,3.205852237835203,29.984324821799657,0.48113740932102517,420.3638878848581,284.47190300857307,703.4534309570208,6.953012296608773,0.33325112938114776,0.003894826601479022,41.0,14.0,7.0,4.0
